Aura;title;skill_1;;Level;Based On;Targets;Hits;Who;Chance;%;Effect 1;B Who;Turns;Places If;Chance;%;Effect 2;B Who;Turns;Places If;Chance;%;Effect 3;B Who;Turns;Places If;Chance;%;Effect 4;B Who;Turns;Places If;Chance;%;Effect 5;B Who;Turns;Places If
;Acolyte;Tireless Anger ;Level 5;Damage +5%;ATK;1;1;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Tireless Anger ;Level 6;Damage +5%;ATK;1;1;Enemy;-;25;Inc Meter;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 1;-;ATK;1;1;Enemy;75;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 2;Damage +5%;ATK;1;1;Enemy;75;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 3;Chance +5%;ATK;1;1;Enemy;80;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 4;Damage +10%;ATK;1;1;Enemy;80;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 5;Chance +5%;ATK;1;1;Enemy;85;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 6;Damage +15%;ATK;1;1;Enemy;85;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Dark Exhaustion ;Level 7;Chance +5%;ATK;1;1;Enemy;90;50;Dec Meter;Target;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Liberation ;Level 1;-;-;ALL;1;Ally;-;-;Remove ALL Debuffs;All Ally;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Acolyte;Liberation ;Level 2;Cooldown -1;-;ALL;1;Ally;-;-;Remove ALL Debuffs;All Ally;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Increases Magic Ally SPD in all Battles by 21%.;Adriel;Humiliate ;Level 1;-;ATK;1;1;Enemy;20;-;Dec ACC;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Humiliate ;Level 2;Damage +5%;ATK;1;1;Enemy;20;-;Dec ACC;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Humiliate ;Level 3;Damage +5%;ATK;1;1;Enemy;20;-;Dec ACC;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Humiliate ;Level 4;Chance +5%;ATK;1;1;Enemy;25;-;Dec ACC;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Humiliate ;Level 5;Chance +10%;ATK;1;1;Enemy;35;-;Dec ACC;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Curtain of Light ;Level 1;-;-;ALL;1;Ally;-;20;Heal;All Ally;-;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Curtain of Light ;Level 2;Heal +5%;-;ALL;1;Ally;-;25;Heal;All Ally;-;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Curtain of Light ;Level 3;Heal +5%;-;ALL;1;Ally;-;30;Heal;All Ally;-;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Curtain of Light ;Level 4;Heal +10%;-;ALL;1;Ally;-;35;Heal;All Ally;-;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Curtain of Light ;Level 5;Cooldown -1;-;ALL;1;Ally;-;20;Heal;All Ally;-;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Blinding Flash ;Level 1;-;ATK;ALL;1;Enemy;50;50;Dec ATK;All Enemy;2;-;100;50;Dec ATK;All Enemy;2;Crit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Blinding Flash ;Level 2;Damage +5%;ATK;ALL;1;Enemy;50;50;Dec ATK;All Enemy;2;-;100;50;Dec ATK;All Enemy;2;Crit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Blinding Flash ;Level 3;Damage +5%;ATK;ALL;1;Enemy;50;50;Dec ATK;All Enemy;2;-;100;50;Dec ATK;All Enemy;2;Crit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Blinding Flash ;Level 4;Damage +10%;ATK;ALL;1;Enemy;50;50;Dec ATK;All Enemy;2;-;100;50;Dec ATK;All Enemy;2;Crit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Blinding Flash ;Level 5;Damage +10%;ATK;ALL;1;Enemy;50;50;Dec ATK;All Enemy;2;-;100;50;Dec ATK;All Enemy;2;Crit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adriel;Blinding Flash ;Level 6;Cooldown -1;ATK;ALL;1;Enemy;50;50;Dec ATK;All Enemy;2;-;100;50;Dec ATK;All Enemy;2;Crit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Ferocity ;Level 1;-;ATK;1;2;Enemy;10;-;Extra Turn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Ferocity ;Level 2;Damage +5%;ATK;1;2;Enemy;10;-;Extra Turn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Ferocity ;Level 3;Damage +5%;ATK;1;2;Enemy;10;-;Extra Turn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Ferocity ;Level 4;Damage +5%;ATK;1;2;Enemy;10;-;Extra Turn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Ferocity ;Level 5;Chance +5%;ATK;1;2;Enemy;15;-;Extra Turn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Bloody Swath ;Level 1;-;ATK;1;1;Enemy;80;25;Weaken;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Bloody Swath ;Level 2;Damage +5%;ATK;1;1;Enemy;80;25;Weaken;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Bloody Swath ;Level 3;Chance +10%;ATK;1;1;Enemy;90;25;Weaken;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Bloody Swath ;Level 4;Damage +10%;ATK;1;1;Enemy;90;25;Weaken;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Bloody Swath ;Level 5;Chance +10%;ATK;1;1;Enemy;100;25;Weaken;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Overmaster ;Level 1;-;ATK;1;1;Enemy;80;60;Dec DEF;Target;2;-;-;10;Heal per DMG;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Overmaster ;Level 2;Damage +5%;ATK;1;1;Enemy;80;60;Dec DEF;Target;2;-;-;10;Heal per DMG;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Overmaster ;Level 3;Chance +10%;ATK;1;1;Enemy;90;60;Dec DEF;Target;2;-;-;10;Heal per DMG;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Overmaster ;Level 4;Damage +10%;ATK;1;1;Enemy;90;60;Dec DEF;Target;2;-;-;10;Heal per DMG;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aina;Overmaster ;Level 5;Chance +10%;ATK;1;1;Enemy;100;60;Dec DEF;Target;2;-;-;10;Heal per DMG;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Searing Blow ;Level 1;-;DEF;1;1;Enemy;25;50;Dec ATK;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Searing Blow ;Level 2;Damage +5%;DEF;1;1;Enemy;25;50;Dec ATK;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Searing Blow ;Level 3;Damage +5%;DEF;1;1;Enemy;25;50;Dec ATK;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Searing Blow ;Level 4;Chance +5%;DEF;1;1;Enemy;30;50;Dec ATK;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Searing Blow ;Level 5;Chance +10%;DEF;1;1;Enemy;40;50;Dec ATK;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Searing Blow ;Level 6;Damage +10%;DEF;1;1;Enemy;40;50;Dec ATK;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Wall of Flame ;Level 1;-;DEF;1;1;Enemy;-;60;Inc DEF;All Ally;2;-;-;20;Shield;All Ally;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Wall of Flame ;Level 2;Damage +5%;DEF;1;1;Enemy;-;60;Inc DEF;All Ally;2;-;-;20;Shield;All Ally;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Wall of Flame ;Level 3;Damage +5%;DEF;1;1;Enemy;-;60;Inc DEF;All Ally;2;-;-;20;Shield;All Ally;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Wall of Flame ;Level 4;Damage +10%;DEF;1;1;Enemy;-;60;Inc DEF;All Ally;2;-;-;20;Shield;All Ally;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Wall of Flame ;Level 5;Cooldown -1;DEF;1;1;Enemy;-;60;Inc DEF;All Ally;2;-;-;20;Shield;All Ally;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Altan;Fiery Rebirth [Passive] ;Level 1;-;-;1;1;Random Ally;-;30;Revive;Random Ally;-;kill;-;-;Reset ALL Cooldowns;Self;-;Kill with Full Team;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Stunning Strength ;Level 1;-;ATK;1;1;Enemy;50;-;Stun;Target;1;-;-;-;Extra Turn;Self;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Stunning Strength ;Level 2;Damage +5%;ATK;1;1;Enemy;50;-;Stun;Target;1;-;-;-;Extra Turn;Self;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Stunning Strength ;Level 3;Damage +5%;ATK;1;1;Enemy;50;-;Stun;Target;1;-;-;-;Extra Turn;Self;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Stunning Strength ;Level 4;Damage +5%;ATK;1;1;Enemy;50;-;Stun;Target;1;-;-;-;Extra Turn;Self;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Stunning Strength ;Level 5;Damage +10%;ATK;1;1;Enemy;50;-;Stun;Target;1;-;-;-;Extra Turn;Self;-;Kill;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Wild Swing ;Level 1;-;ATK;ALL;1;Enemy;75;60;Dec DEF;All Enemy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Wild Swing ;Level 2;Damage +5%;ATK;ALL;1;Enemy;75;60;Dec DEF;All Enemy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Wild Swing ;Level 3;Damage +10%;ATK;ALL;1;Enemy;75;60;Dec DEF;All Enemy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Wild Swing ;Level 4;Chance +10%;ATK;ALL;1;Enemy;85;60;Dec DEF;All Enemy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Wild Swing ;Level 5;Chance +15%;ATK;ALL;1;Enemy;100;60;Dec DEF;All Enemy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Wild Swing ;Level 6;Cooldown -1;ATK;ALL;1;Enemy;75;60;Dec DEF;All Enemy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Merciless Assault ;Level 1;-;ATK;ALL;1;Enemy;-;-;Inc DMG;All Enemy;-;Sleep;-;-;Inc DMG;All Enemy;-;Stun;-;-;Inc DMG;All Enemy;-;Freeze;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Merciless Assault ;Level 2;Damage +5%;ATK;ALL;1;Enemy;-;-;Inc DMG;All Enemy;-;Sleep;-;-;Inc DMG;All Enemy;-;Stun;-;-;Inc DMG;All Enemy;-;Freeze;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Merciless Assault ;Level 3;Damage +10%;ATK;ALL;1;Enemy;-;-;Inc DMG;All Enemy;-;Sleep;-;-;Inc DMG;All Enemy;-;Stun;-;-;Inc DMG;All Enemy;-;Freeze;-;-;-;-;-;-;-;-;-;-;-;-
;Robar;Merciless Assault ;Level 4;Damage +10%;ATK;ALL;1;Enemy;-;-;Inc DMG;All Enemy;-;Sleep;-;-;Inc DMG;All Enemy;-;Stun;-;-;Inc DMG;All Enemy;-;Freeze;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Exacerbate ;Level 1;-;ATK/HP;1;2;Enemy;-;-;Extra Turn;Self;-;Provoke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Exacerbate ;Level 2;Damage +5%;ATK/HP;1;2;Enemy;-;-;Extra Turn;Self;-;Provoke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Exacerbate ;Level 3;Damage +5%;ATK/HP;1;2;Enemy;-;-;Extra Turn;Self;-;Provoke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Exacerbate ;Level 4;Damage +10%;ATK/HP;1;2;Enemy;-;-;Extra Turn;Self;-;Provoke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Infuriate ;Level 1;-;ATK/HP;Random;2;Enemy;-;-;Provoke;Target;1;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Infuriate ;Level 2;Damage +5%;ATK/HP;Random;2;Enemy;-;-;Provoke;Target;1;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Infuriate ;Level 3;Damage +5%;ATK/HP;Random;2;Enemy;-;-;Provoke;Target;1;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Infuriate ;Level 4;Damage +10%;ATK/HP;Random;2;Enemy;-;-;Provoke;Target;1;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Infuriate ;Level 5;Cooldown -1;ATK/HP;Random;2;Enemy;-;-;Provoke;Target;1;-;-;30;Reflect DMG;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Bravado [Passive] ;Level 1;-;-;-;-;-;40;-;Provoke;Target;1;provoke attacks;-;2;DMG Reduction;Self;-;Hit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Bravado [Passive] ;Level 2;Chance +5%;-;-;-;-;45;-;Provoke;Target;1;provoke attacks;-;2;DMG Reduction;Self;-;Hit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Angar;Bravado [Passive] ;Level 3;Chance +5%;-;-;-;-;50;-;Provoke;Target;1;provoke attacks;-;2;DMG Reduction;Self;-;Hit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Mystic Chill ;Level 1;-;ATK;1;3;Enemy;25;-;Freeze;Target;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Mystic Chill ;Level 2;Damage +5%;ATK;1;3;Enemy;25;-;Freeze;Target;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Mystic Chill ;Level 3;Damage +5%;ATK;1;3;Enemy;25;-;Freeze;Target;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Mystic Chill ;Level 4;Damage +10%;ATK;1;3;Enemy;25;-;Freeze;Target;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Vigor Theft ;Level 1;-;ATK;1;2;Enemy;75;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Vigor Theft ;Level 2;Damage +5%;ATK;1;2;Enemy;75;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Vigor Theft ;Level 3;Chance +5%;ATK;1;2;Enemy;80;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Vigor Theft ;Level 4;Damage +10%;ATK;1;2;Enemy;80;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Vigor Theft ;Level 5;Chance +10%;ATK;1;2;Enemy;90;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Vigor Theft ;Level 6;Cooldown -1;ATK;1;2;Enemy;90;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Chant of Violence ;Level 1;-;-;ALL;1;Ally;-;25;Inc Meter;All Ally;-;-;-;30;Inc Crit Rate;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anointed;Chant of Violence ;Level 2;Cooldown -1;-;ALL;1;Ally;-;25;Inc Meter;All Ally;-;-;-;30;Inc Crit Rate;All Ally;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Increases Ally ATK in all Battles by 21%;Aothar;Rage ;Level 1;-;ATK;1;2;Enemy;15;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Rage ;Level 2;Damage +5%;ATK;1;2;Enemy;15;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Rage ;Level 3;Damage +5%;ATK;1;2;Enemy;15;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Rage ;Level 4;Damage +10%;ATK;1;2;Enemy;15;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Rage ;Level 5;Chance +5%;ATK;1;2;Enemy;20;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Rage ;Level 6;Chance +5%;ATK;1;2;Enemy;25;-;Steal 1 Buff;Self;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Holy Flame ;Level 1;-;ATK;Random;4;Enemy;-;5;Poison;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Holy Flame ;Level 2;Damage +5%;ATK;Random;4;Enemy;-;5;Poison;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Holy Flame ;Level 3;Damage +5%;ATK;Random;4;Enemy;-;5;Poison;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Holy Flame ;Level 4;Damage +10%;ATK;Random;4;Enemy;-;5;Poison;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Holy Flame ;Level 5;Damage +10%;ATK;Random;4;Enemy;-;5;Poison;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Aothar;Holy Flame ;Level 6;Cooldown -1;ATK;Random;4;Enemy;-;5;Poison;Target;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
