Factions,Champion,Rarity,Element,Typ,Overall,Campaign,Arena-Off,Arena-Deff,CB (-T6),CB (+T6),IceG,Dragon,Spider,FK,Mino,Force,Magic,Spirit,Void
,Shirimani,Legendary,Force,Assist,A,B,S,S,A,S,A,A,B,A,A,B,B,A,A
,Lyssandra,Legendary,Spirit,Assist,A,B,S,S,B,B,A,A,A,A,A,B,B,A,A
,Royal Huntsman,Legendary,Spirit,Attack,S,A,SS,B,A,B,S,S,S,B,A,SS,A,B,A
,Ithos,Legendary,Void,Attack,S,S,SS,A,B,A,S,A,SS,A,A,B,B,A,A
,Belanor,Legendary,Void,Attack,S,B,S,B,A,A,S,S,A,A,S,S,A,A,A
,Arbiter,Legendary,Void,Assist,S,C,SS,SS,A,S,B,A,C,B,A,A,A,A,A
,Royal Guard,Epic,Magic,Attack,S,S,B,A,A,S,S,S,A,S,S,S,B,S,A
,Tayrel,Epic,Magic,Def,S,S,S,S,S,S,A,S,B,C,S,A,B,B,A
,Thenasil,Epic,Force,Assist,S,C,S,S,A,A,S,S,S,A,S,A,A,A,A
,Luthiea,Epic,Force,Attack,A,B,A,B,A,A,A,A,A,B,A,B,B,B,A
,Vergis,Epic,Spirit,Def,C,C,B,B,D,D,B,B,D,C,B,C,C,C,B
,Marksman,Epic,Spirit,Attack,A,C,S,B,S,S,A,A,C,A,A,S,B,A,A
,Jinglehunter,Epic,Spirit,Attack,A,B,S,S,C,C,B,B,B,A,B,B,B,B,B
,Battlesage,Epic,Void,Assist,A,A,S,S,C,C,A,A,S,B,A,B,B,B,B
,Exemplar,Epic,Void,Attack,A,B,S,A,A,SS,A,A,C,A,A,B,B,B,B
,Apothecary,Rare,Magic,Assist,A,B,A,A,A,SS,A,A,C,A,A,B,B,A,B
,Avenger,Rare,Magic,Attack,B,B,B,C,C,C,C,B,C,C,B,B,B,C,B
,Elhain,Rare,Magic,Attack,A,A,A,B,B,B,A,A,S,B,A,B,A,B,B
,Heiress* (+Ch. 6),Rare,Force,Attack,A,B,A,B,C,C,A,A,C,C,A,B,B,A,B
,Magister,Rare,Force,Assist,B,B,B,B,C,C,B,B,C,C,B,B,B,A,B
,Hyria,Rare,Spirit,Attack,A,B,B,B,S,S,B,A,C,A,A,B,B,A,B
Sacred Order,Roshcard the Tower,Legendary,Magic,HP,A,B,S,SS,B,C,A,A,C,C,B,B,S,B,B
,Errol,Legendary,Force,Attack,A,B,S,B,B,B,A,S,B,A,A,S,A,A,A
,Abbess,Legendary,Force,Attack,S,S,S,B,C,C,S,A,S,B,A,S,A,B,A
,Martyr,Legendary,Spirit,Def,S,B,S,S,B,B,S,S,B,A,S,S,B,S,A
,Cupidus,Legendary,Spirit,Attack,S,SS,SS,A,A,B,S,A,S,A,S,A,A,S,A
,Sir Nicholas,Legendary,Void,HP,S,S,SS,SS,S,S,S,S,A,A,A,A,A,A,A
,Venus,Legendary,Void,Assist,S,A,S,A,SS,SS,S,S,SS,A,S,S,A,A,A
,Canoness,Epic,Magic,Def,B,C,B,B,C,C,B,B,C,C,B,B,C,C,B
,Adriel,Epic,Magic,Assist,A,B,A,S,A,B,A,A,B,A,A,A,A,A,B
,Hope,Epic,Magic,HP,A,C,S,S,C,C,A,A,B,A,A,B,S,B,B
,Frostbringer,Epic,Magic,Assist,S,B,S,S,A,S,A,A,B,SS,A,S,A,SS,B
,Tallia,Epic,Magic,Attack,S,B,S,A,A,S,S,A,A,S,A,B,B,S,B
,Juliana,Epic,Magic,Attack,S,B,B,B,SS,S,S,S,B,SS,S,A,S,SS,A
,Aothar,Epic,Force,Attack,A,B,S,B,S,S,A,A,C,S,A,B,A,S,B
,Relickeeper,Epic,Force,Attack,A,S,A,A,C,C,B,B,C,B,B,B,B,B,B
,Romero,Epic,Force,Def,A,C,B,A,C,C,B,A,A,B,A,B,B,B,B
,Bushi,Epic,Spirit,Attack,B,C,A,C,C,C,C,B,D,C,B,B,C,C,B
,Fenax,Epic,Spirit,Attack,A,B,S,S,C,C,B,A,C,B,A,A,A,B,B
,Cardinal,Epic,Void,Assist,B,C,B,A,A,B,B,B,C,C,B,B,B,C,B
,Lightsworn,Epic,Void,Def,A,B,A,A,A,SS,A,A,C,C,A,A,A,B,B
,Athel,Rare,Magic,Attack,A,A,A,B,A,SS,A,A,A,S,A,A,A,S,A
,Hospitaller,Rare,Magic,Assist,B,B,A,B,C,C,B,B,B,C,B,C,B,C,B
,Chaplain,Rare,Force,Assist,B,A,B,A,C,C,B,B,C,C,B,C,C,C,B
,Lamellar,Rare,Force,HP,B,B,C,C,C,C,B,B,B,C,B,B,C,C,B
,Templar* (+Ch. 8),Rare,Spirit,Def,B,B,B,A,C,A,B,B,C,A,B,B,B,A,B
,Penitent,Rare,Spirit,Def,B,B,C,C,C,B,B,B,D,B,B,C,C,B,B
,Warpriest,Rare,Spirit,Assist,B,B,B,B,C,C,B,B,C,C,B,C,C,C,B
,Judicator,Rare,Spirit,Attack,B,B,B,C,C,D,B,B,D,B,B,B,C,B,B
,Maiden,Rare,Spirit,Attack,B,B,A,B,C,C,B,B,D,B,B,A,C,C,B
,Confessor,Rare,Void,Attack,B,B,A,B,C,C,B,B,B,B,B,C,C,C,B
,Justiciar*,Rare,Void,Def,B,B,B,C,D,D,C,B,D,D,B,C,C,C,B
,Harrier,Rare,Void,Attack,B,B,A,C,B,B,B,B,C,B,B,A,C,B,B
Barbarians,Altan,Legendary,Magic,Def,B,S,B,B,C,C,B,B,B,C,B,C,C,C,C
,Valkyrie,Legendary,Spirit,Def,A,S,S,S,A,A,A,A,B,A,A,A,A,A,B
,Turvold,Legendary,Void,Attack,A,S,S,A,A,A,A,A,B,B,A,B,B,B,B
,Aina,Epic,Magic,Attack,A,C,B,C,B,B,A,A,C,A,A,A,A,B,A
,Jotun,Epic,Magic,HP,A,C,B,B,S,A,B,A,C,A,A,A,B,A,B
,Atur,Epic,Magic,HP,C,B,B,C,D,D,B,B,D,C,B,C,C,C,B
,Alika,Epic,Force,Attack,B,B,S,A,C,C,B,A,C,C,B,S,B,B,A
,Kallia,Epic,Force,Attack,S,A,A,B,S,A,A,A,A,SS,A,B,B,SS,B
,Woad-Painted,Epic,Spirit,HP,B,C,A,A,C,C,C,B,D,C,B,B,B,C,B
,Marked,Rare,Magic,Assist,A,A,A,A,B,C,A,A,B,C,A,A,B,C,B
,Elder,Rare,Magic,Def,C,C,B,C,D,D,C,C,D,D,C,C,C,C,C
,Sentinel,Rare,Force,HP,A,A,A,A,C,C,A,A,B,A,A,C,C,A,B
,Warmaiden* (+Ch. 9),Rare,Force,Attack,A,B,A,B,A,B,A,A,B,C,A,A,C,B,B
,Slayer,Rare,Force,Attack,A,B,B,B,A,B,A,A,B,C,A,C,C,C,B
,Anointed,Rare,Force,Assist,A,B,A,A,A,S,B,A,C,S,B,B,B,A,B
,Berserker (+Ch. 9),Rare,Spirit,Attack,B,B,A,C,C,C,B,B,A,C,B,B,C,C,B
,Bloodbraid,Rare,Spirit,HP,A,C,A,C,C,B,B,B,D,S,B,C,C,S,B
,Skirmisher,Rare,Void,Attack,A,B,A,B,C,C,A,A,B,A,A,C,B,A,B
,Ox,Rare,Void,Attack,B,B,B,C,C,D,B,B,D,C,B,B,C,C,B
Ogryn-Tribes,Big'Un,Legendary,Magic,Attack,S,SS,SS,SS,C,D,SS,A,SS,C,S,B,B,C,B
,War Mother,Legendary,Magic,Attack,A,B,A,B,A,A,A,A,B,C,B,B,C,C,B
,Ignatius,Legendary,Magic,Def,A,A,S,S,A,B,A,A,A,C,A,B,B,C,B
,Shamrock,Legendary,Spirit,Assist,A,C,S,S,B,B,A,A,C,C,A,B,A,C,B
,Gurgoh the Augur,Legendary,Void,Attack,B,C,S,SS,D,C,C,B,C,B,C,C,B,B,C
,Grimskin,Epic,Magic,Def,B,B,A,A,D,D,C,B,B,C,B,C,B,C,B
,Skullcrusher,Epic,Force,Def,A,C,S,S,A,SS,A,A,C,A,B,B,B,A,B
,Shatterbones,Epic,Force,Attack,A,B,S,S,B,A,A,A,A,B,B,C,C,B,B
,Galkut,Epic,Spirit,Attack,B,B,A,C,C,C,A,B,A,C,A,A,B,C,B
,Cagebreaker,Epic,Spirit,Attack,A,B,A,B,C,B,B,A,C,A,A,S,B,A,A
,Maneater,Epic,Void,Attack,A,C,A,S,B,B,B,B,C,C,B,C,B,C,A
,Towering Titan,Epic,Void,HP,A,B,A,S,A,A,B,A,C,A,A,S,A,A,A
,Rocktooth (+Ch. 5),Rare,Magic,Attack,A,B,B,C,D,D,B,B,C,S,B,C,C,S,B
,Pounder,Rare,Magic,Def,C,C,C,B,C,C,C,C,D,D,C,C,C,C,C
,Fortress Goon,Rare,Magic,Def,B,B,B,B,B,B,B,B,B,C,B,C,C,B,B
,Magmablood,Rare,Force,Attack,B,B,B,B,C,C,B,C,B,D,B,B,C,C,B
,Furystoker,Rare,Spirit,Assist,B,C,C,B,C,D,B,B,D,D,B,C,C,C,B
,Siegebreaker,Rare,Spirit,Attack,B,B,A,A,D,C,B,B,B,B,B,C,C,B,B
,Flesheater,Rare,Spirit,Assist,B,B,B,C,C,C,B,B,C,C,B,C,C,C,B
,Stoneskin,Rare,Void,HP,C,B,B,B,D,D,B,C,C,D,C,C,C,C,C
,Bellower,Rare,Void,Assist,A,A,S,A,C,C,A,A,S,C,A,B,B,C,B
Lizardmen,Dracomorph,Legendary,Magic,Attack,B,B,B,C,S,A,B,B,D,B,B,B,C,B,B
,Fu-Shan,Legendary,Force,Attack,S,B,S,S,B,S,A,A,A,S,A,S,B,A,B
,Rhazin Scarhide,Legendary,Force,Def,S,B,S,S,S,S,S,S,B,S,S,A,A,S,A
,Jarang,Epic,Magic,Attack,A,B,A,B,B,S,A,A,C,A,A,A,A,A,B
,Drake,Epic,Spirit,Attack,B,B,A,C,D,D,B,B,D,C,B,C,C,C,B
,Jizoh,Epic,Spirit,Def,B,B,B,B,D,C,B,B,C,C,B,C,C,C,B
,Broadmaw,Epic,Void,Assist,B,C,B,A,C,C,B,B,D,C,B,C,C,C,B
,Muckstalker (+Ch. 10),Rare,Magic,HP,C,B,B,C,D,D,C,C,D,D,C,C,B,C,C
,Skink,Rare,Magic,Attack,A,B,B,C,D,D,B,B,C,A,B,A,S,A,B
,Gator,Rare,Magic,Assist,B,B,B,C,C,D,B,B,C,A,B,C,C,A,B
,Slitherbrute,Rare,Magic,Attack,B,B,A,C,C,D,B,B,D,C,B,C,C,C,B
,Bogwalker,Rare,Force,Def,B,B,C,B,C,C,B,B,B,C,B,C,C,C,B
,Skullsworn (+Ch. 2),Rare,Force,Attack,B,B,B,C,D,B,B,B,D,B,B,C,C,B,B
,Hurler,Rare,Force,Attack,B,C,B,C,D,C,B,B,D,D,B,A,C,C,B
,Flinger* (+Ch. 10),Rare,Spirit,Attack,B,B,B,C,D,D,B,B,B,C,B,A,C,C,B
,Slasher,Rare,Spirit,Attack,B,C,B,C,C,C,B,B,D,C,B,A,C,C,B
,Metalshaper,Rare,Spirit,Assist,B,B,B,A,C,C,B,B,D,C,B,C,B,C,B
Skinwalker,Norog,Legendary,Magic,Def,A,A,S,SS,D,D,B,B,B,C,B,C,S,C,B
,Longbeard,Legendary,Magic,Attack,S,B,S,S,S,A,S,S,B,S,S,A,SS,S,S
,Hakkorhn Smashlord,Legendary,Magic,HP,,,,,,,,,,,,,,,
,Warchief,Legendary,Force,Def,A,B,A,A,B,A,A,A,C,S,A,B,S,S,B
,Taurus,Epic,Magic,Attack,C,C,C,C,B,D,B,B,C,C,B,B,B,C,B
,Flesh-Tearer,Epic,Magic,Assist,B,C,B,A,B,C,B,B,B,C,B,C,C,C,B
,Ripper,Epic,Force,Attack,B,C,B,C,C,D,B,B,B,A,B,A,B,A,B
,Reinbeast,Epic,Force,Def,A,A,S,SS,B,C,B,B,B,C,B,C,C,C,B
,Steelskull,Epic,Spirit,Assist,A,C,B,S,S,S,B,B,B,C,B,C,C,C,B
,Basher,Epic,Void,Attack,A,B,A,A,B,A,B,B,B,A,B,C,C,A,B
,Graybeard (+Ch. 4),Rare,Magic,Def,B,B,B,B,D,D,B,B,B,D,B,C,C,C,B
,Bloodpainter,Rare,Force,Attack,B,C,B,B,A,A,B,B,B,C,B,B,B,C,B
,Gnarlhorn,Rare,Spirit,HP,C,C,B,A,D,D,C,C,D,D,C,B,C,C,B
,Channeler,Rare,Spirit,Assist,B,C,B,B,C,C,C,C,D,A,C,C,C,A,C
,Grappler,Rare,Spirit,Def,B,C,C,B,A,A,B,B,C,B,B,C,C,B,B
,Bloodhorn,Rare,Void,HP,C,C,C,B,D,D,C,C,D,D,C,C,C,C,C
Orcs,Robar,Legendary,Force,Attack,A,A,S,A,B,C,S,A,S,C,A,S,B,C,B
,Warlord,Legendary,Void,Assist,S,B,SS,SS,S,S,S,S,A,A,S,A,A,A,S
,Angar,Legendary,Void,HP,,,,,C,C,,,,,,,,,
,Torturehelm,Epic,Force,HP,B,B,A,C,D,D,B,B,D,C,B,C,C,C,B
,Zargala,Epic,Force,Attack,B,B,A,B,B,B,B,B,A,C,B,A,B,C,B
,Bloodfeather,Epic,Force,Attack,B,C,B,C,C,D,B,A,C,B,B,A,C,C,B
,Bonekeeper,Epic,Force,Attack,B,C,A,C,C,B,B,A,D,C,A,S,B,B,B
,Shaman,Epic,Force,Assist,B,C,A,A,C,C,B,A,D,C,B,B,A,C,B
,Terrorbeast,Epic,Spirit,HP,B,B,A,C,D,C,B,B,D,B,B,C,C,B,B
,Vrask,Epic,Spirit,HP,A,A,A,A,S,A,S,S,B,B,S,A,A,A,S
,Seer,Epic,Void,Assist,A,C,S,B,A,B,A,A,A,B,B,B,S,B,A
,Deathchanter,Rare,Magic,HP,A,C,B,B,D,D,B,B,D,S,B,C,C,S,B
,Chopper,Rare,Magic,Attack,B,C,B,C,C,C,B,B,D,C,B,A,B,C,B
,Galek,Rare,Magic,Attack,A,A,A,A,C,B,A,A,A,B,A,A,C,B,A
,Spikehead,Rare,Magic,Attack,B,C,A,C,D,B,B,B,D,A,B,C,C,A,B
,Ironclad,Rare,Force,HP,B,C,B,A,C,C,B,B,C,A,B,C,C,B,B
,Goremask (+Ch. 7),Rare,Force,Attack,B,C,A,C,D,C,B,B,D,C,B,C,A,C,B
,Raider,Rare,Spirit,Attack,B,C,B,C,C,C,B,B,D,C,B,C,C,B,B
,Totem,Rare,Spirit,Assist,B,C,B,B,A,C,B,B,C,D,B,B,C,C,B
,Veteran,Rare,Void,Def,B,C,B,A,B,B,B,B,C,C,B,C,C,C,B
,Huntress,Rare,Void,Attack,B,C,B,C,C,B,B,B,D,C,B,C,C,C,B
Demonspawn,Prince Kymar,Legendary,Magic,Assist,S,SS,SS,SS,A,B,S,A,S,B,S,B,S,B,A
,Drexthar Bloodtwin,Legendary,Force,HP,S,A,S,A,S,S,A,S,B,A,S,B,B,A,A
,Mortu-Macaab,Legendary,Spirit,Attack,S,A,S,A,C,C,S,A,A,SS,A,B,S,SS,A
,Lord Shazar,Legendary,Spirit,HP,A,A,S,A,B,A,B,A,B,A,A,B,B,A,A
,Alure,Epic,Magic,Attack,S,A,S,A,B,A,S,S,S,SS,S,A,B,SS,B
,Erinyes,Epic,Force,Attack,A,B,A,B,S,A,A,A,B,C,A,B,S,C,B
,Souldrinker,Epic,Force,Attack,A,B,A,C,A,B,A,A,A,B,A,A,B,B,A
,Nazana,Epic,Force,HP,S,SS,S,S,B,B,S,S,SS,C,S,B,B,B,B
,Hellgazer,Epic,Spirit,Attack,A,B,S,B,A,B,A,A,B,C,A,S,C,C,A
,Peydma,Epic,Void,Def,A,A,S,B,B,B,B,B,B,B,B,C,SS,B,A
,Diabolist* (+Ch. 12),Rare,Magic,Assist,B,B,A,B,C,C,B,B,C,C,B,C,C,C,B
,Tormentor,Rare,Magic,Attack,,,,,,,,,,,,,,,
,Hound Spawn (+Ch. 12),Rare,Force,Attack,B,B,B,C,C,C,B,B,C,C,B,A,C,C,B
,Hellfang,Rare,Spirit,Attack,B,B,A,B,C,C,B,B,C,C,B,C,C,C,B
,Marquess,Rare,Spirit,Def,B,B,B,B,C,C,B,B,B,C,B,C,C,C,B
,Ifrit,Rare,Void,HP,C,C,C,C,B,B,C,C,D,D,C,C,C,D,C
,Marquis,Rare,Void,Def,B,B,A,A,D,D,B,B,B,C,B,C,C,C,B
,Fellhound,Rare,Void,Def,B,B,C,B,C,C,B,B,C,A,B,C,C,C,B
,Malbranche,Rare,Void,Attack,B,C,C,D,C,D,C,C,C,D,C,C,D,D,B
Undead Hordes,Skartorsis,Legendary,Force,Assist,A,A,S,A,B,C,A,A,A,C,A,C,A,C,A
,Bad-el-Kazar,Legendary,Force,Assist,S,S,SS,S,SS,S,S,S,S,A,S,A,A,A,S
,Bloodgorged,Legendary,Force,Attack,A,A,S,A,A,A,SS,S,B,A,A,S,B,A,A
,Ma'Shalled,Legendary,Spirit,Attack,B,B,B,C,C,C,C,B,C,A,B,C,C,A,B
,Nethril,Legendary,Spirit,Attack,A,S,SS,A,S,A,S,A,S,A,A,B,B,A,A
,Gorgorab,Epic,Magic,Assist,S,C,S,SS,B,C,A,A,B,B,A,B,A,B,A
,Seeker,Epic,Magic,Def,A,C,S,SS,B,C,A,A,A,A,A,A,A,A,A
,Husk*,Epic,Force,HP,A,B,A,A,A,B,B,B,A,C,A,C,C,C,A
,Karam,Epic,Force,Attack,B,C,A,C,A,C,B,A,C,C,B,B,B,B,B
,Lich,Epic,Force,Def,A,C,A,B,C,C,A,A,S,S,A,A,A,S,A
,Hexia,Epic,Force,Attack,B,A,A,C,C,C,B,B,C,C,B,A,C,C,B
,Zelotah,Epic,Spirit,Assist,A,A,A,S,B,B,A,A,A,A,A,A,A,A,A
,Banshee,Rare,Magic,Assist,B,A,A,A,C,C,B,B,A,C,A,B,A,C,A
,Temptress,Rare,Magic,Attack,B,C,A,C,B,B,B,B,C,B,B,C,A,B,B
,Sorceress* (+Ch. 3),Rare,Force,Attack,B,C,B,B,B,C,B,B,C,B,B,B,B,B,B
,Grinner,Rare,Force,Assist,B,B,A,B,C,C,B,B,C,C,B,C,C,C,B
,Wretch,Rare,Force,Attack,B,C,C,C,A,B,B,B,C,A,B,C,C,A,B
,Bone Knight,Rare,Spirit,Attack,A,C,C,C,D,C,B,B,B,SS,B,C,C,SS,B
,Arbalester,Rare,Void,Attack,C,C,B,C,D,D,C,C,D,D,C,C,C,C,C
,Doomscreech,Rare,Void,HP,B,C,A,A,B,B,B,B,C,C,B,C,C,C,B
,Hollow,Rare,Void,Attack,B,C,C,D,B,B,B,B,D,A,B,B,C,C,B
,Seducer,Rare,Void,Def,B,C,A,S,C,C,B,B,C,C,B,C,C,C,B
Dark Elves,Rae,Legendary,Magic,Attack,S,S,SS,A,B,C,S,S,S,C,S,B,B,C,A
,Foli,Legendary,Magic,Attack,S,S,SS,B,A,SS,SS,S,B,S,S,S,A,S,A
,Zavia,Legendary,Force,Attack,S,SS,SS,A,S,SS,SS,A,SS,SS,S,B,B,SS,A
,Astralith,Legendary,Spirit,Attack,C,B,B,C,C,C,C,B,D,C,B,B,C,C,B
,Queen Eva,Legendary,Spirit,Attack,S,A,SS,A,C,C,SS,A,S,SS,A,B,B,SS,B
,Ghostborn,Legendary,Spirit,Assist,S,A,S,A,B,B,S,A,SS,S,A,SS,B,S,B
,Blind Seer,Legendary,Void,Assist,A,C,A,S,C,A,B,A,A,A,S,C,B,A,S
,Spider,Epic,Force,Assist,A,B,S,A,A,B,A,A,B,B,A,B,S,B,B
,Luria,Epic,Spirit,Attack,S,B,S,B,B,C,A,A,A,S,A,S,SS,S,A
,Crimson Helm,Epic,Spirit,Def,A,B,S,S,A,A,A,A,C,A,A,C,C,A,B
,Warden,Epic,Spirit,Def,A,B,A,S,A,B,A,A,B,C,A,B,B,B,B
,Delver,Epic,Spirit,Attack,A,C,A,A,B,B,A,A,B,S,A,A,A,S,A
,Lua,Epic,Void,Attack,S,SS,SS,S,C,C,S,S,S,A,S,A,S,A,A
,Psylar,Epic,Void,Assist,S,S,S,S,D,D,S,A,S,C,A,C,C,C,B
,Judge*,Rare,Magic,Attack,B,C,B,B,D,D,B,B,B,C,B,B,C,C,B
,Kael,Rare,Magic,Attack,A,A,A,B,S,A,A,B,A,A,A,A,A,A,A
,Mystic Hand,Rare,Force,Assist,B,C,A,B,C,C,B,B,C,C,B,C,S,C,B
,Spirithost (+Ch. 4),Rare,Spirit,Assist,A,A,A,A,C,C,B,B,B,C,B,B,B,B,S
,Hexweaver,Rare,Spirit,Assist,B,C,B,C,B,C,B,B,B,C,B,C,C,C,B
,Wanderer,Rare,Spirit,Attack,B,C,B,C,C,C,B,B,C,B,B,B,C,B,B
,Coldheart,Rare,Void,Attack,A,B,A,C,S,S,B,B,S,SS,A,B,A,SS,B
,Paragon,Rare,Void,Def,A,C,A,A,B,C,B,B,C,S,B,C,C,S,B
,Retainer,Rare,Void,Def,B,C,A,A,C,C,B,B,B,C,B,A,C,C,B
,Eviscerator,Rare,Void,Attack,,,,,,,,,,,,,,,
,Pain Keeper,Rare,Void,HP,,,,,,,,,,,,,,,
Knight Revenant,Bystophus,Legendary,Force,Attack,,,,,,,,,,,,,,,
,Tomb Lord,Legendary,Spirit,Assist,,,,,,,,,,,,,,,
,Soulless,Legendary,Void,Def,,,,,,,,,,,,,,,
,Crypt Witch,Epic,Magic,Attack,A,C,A,C,C,,A,A,C,A,A,S,SS,A,B
,Sinesha,Epic,Force,Assist,A,A,S,S,A,,S,A,S,B,A,B,B,B,A
,Doompriest,Epic,Force,Assist,S,C,S,S,A,,A,SS,A,B,A,A,A,A,A
,Deathless,Epic,Spirit,Def,,,,,,,,,,,,,,,
,Kytis,Epic,Spirit,Attack,B,C,A,C,C,,B,B,B,A,B,C,C,A,B
,Faceless,Epic,Void,Attack,B,C,B,C,D,,B,A,D,C,B,B,B,C,B
,Skullcrown,Epic,Void,Attack,S,S,SS,S,B,,S,S,SS,B,A,B,B,B,B
,Executioner* (+Ch. 11),Rare,Magic,Def,A,S,A,A,C,,A,B,B,D,B,C,C,B,B
,Theurgist,Rare,Magic,Assist,B,C,B,B,C,,B,B,C,C,B,C,C,C,B
,Magus,Rare,Magic,Attack,B,B,A,C,A,,B,B,C,C,B,C,C,C,B
,Arcanist,Rare,Force,Assist,A,C,A,B,A,,B,A,C,C,A,C,C,C,A
,Gladiator,Rare,Force,Attack,B,B,A,B,D,,B,B,B,B,B,C,C,B,A
,Acolyte,Rare,Force,Assist,B,C,A,B,D,,B,B,C,B,B,C,C,B,B
,Guardian,Rare,Spirit,HP,B,C,B,B,D,,B,B,C,B,B,C,A,B,B
,Renegade,Rare,Void,Assist,B,C,B,B,C,,B,B,C,A,B,C,C,A,B
,Daywalker,Rare,Void,HP,B,C,B,B,D,,B,B,C,C,B,C,C,C,B
